"duration","response_date","responseid","consent_1","consent_2","consent_3","failed_vpn_1","failed_vpn_2","failed_vpn_3","tutorial_slider_ck","tutorial_age_ck","tutorial_occ_ck","tutorial_resource_ck","attention_ck_midsurvey","importance_age","importance_race","importance_nchildren","importance_political","importance_criminal","importance_health","importance_occupation","importance_upbrinding","decision_style","decision_style_text","demog_age","demog_race","demog_race_text","demog_education","demog_work","demog_work_text","demog_political","demog_strong_dem","demog_strong_rep","demog_party_closeness","demog_liberal_conserv","demog_strong_lib","demog_strong_cons","demog_closer_lib","feedback","embeddedCode"
1052,"2020-10-30 14:21:22","R_3Kvg386W86MszRa","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Low importance","Not at all important","Very Important","Neutral","Low importance","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",21,"Caucasian/White (non-Hispanic)","","High school graduate","I am a part time student","","Republican","","Not strong","","Conservative","","Not very strong conservative","","",46.3971619055134
1945,"2020-10-30 14:25:35","R_3KoUhKBoyWvuSMZ","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Very Important","Not at all important","Slightly important","Very Important","Moderately Important","Low importance","I used both (1) and (2)","",43,"Caucasian/White (non-Hispanic)","","High school graduate","I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","",26.7023196513071
378,"2020-10-30 14:33:15","R_1P1YbUKvnkllP9v","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Not at all important","Very Important","Not at all important","Moderately Important","Moderately Important","Low importance","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",37,"Caucasian/White (non-Hispanic)","","High school graduate","I work full time","","Independent","","","Closer to the Democratic Party","Liberal","Strong liberal","","","",45.2010264778978
315,"2020-10-30 14:35:56","R_3iyQJVm0HLY5VEP","Yes","Yes","Yes",NA,NA,NA,0,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Slightly important","Not at all important","Not at all important","Not at all important","Moderately Important","Not at all important","Not at all important","Moderately Important","I compared the two persons attribute by attribute","",29,"Caucasian/White (non-Hispanic)","","4-year college degree","I work part time","","Independent","","","Closer to the Democratic Party","Liberal","Strong liberal","","","",50.4193228807811
337,"2020-10-30 15:29:30","R_2a9OFCfBidQ3xy8","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues","Extremely Important","Slightly important","Slightly important","Not at all important","Not at all important","Extremely Important","Slightly important","Not at all important","I compared the two persons attribute by attribute","",28,"Black or African American (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",13.5077923632944
304,"2020-10-30 15:39:43","R_1SS6gD8K5SyYamR","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Low importance","Extremely Important","Low importance","Very Important","Moderately Important","Slightly important","Slightly important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",31,"Asian/Pacific Islanders","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Independent","","","Neither","Moderate","","","Neither","",47.3672923970426
378,"2020-10-30 15:39:52","R_3QE3cQZJJA7mbZZ","Yes","Yes","Yes",NA,NA,NA,64,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Moderately Important","Low importance","Very Important","Moderately Important","Moderately Important","Not at all important","I compared the two persons attribute by attribute","",26,"Caucasian/White (non-Hispanic)","","High school graduate","I am unemployed","","Democrat","Not strong","","","Liberal","Strong liberal","","","",40.2766592498582
454,"2020-10-30 16:08:28","R_1i85XOg0tfnECu5","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Slightly important","Not at all important","Low importance","Not at all important","Low importance","Moderately Important","Extremely Important","Low importance","I compared the two persons attribute by attribute","",28,"Asian/Pacific Islanders","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",18.879260732997
211,"2020-10-30 16:34:52","R_1FrZQWUbsFfY8FA","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Not at all important","Not at all important","Very Important","Moderately Important","Very Important","Moderately Important","I used both (1) and (2)","",29,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",56.8277288057906
887,"2020-10-30 16:42:56","R_20PwB4v2HfW4Akc","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Very Important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",40,"Black or African American (non-Hispanic)","","4-year college degree","I am a full time student","","Independent","","","Closer to the Democratic Party","Moderate","","","Closer to liberals","",11.4157732104454
1094,"2020-10-30 17:04:59","R_21EAjtaJfP0MxOu","Yes","Yes","Yes",NA,NA,NA,89,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Slightly important","Extremely Important","Slightly important","Slightly important","Extremely Important","Very Important","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",23,"Black or African American (non-Hispanic)","","4-year college degree","I work part time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","Stay safe and healthy, and have a great rest of your year !",49.0832352042392
478,"2020-10-30 17:05:59","R_25Sdd9o8fO0RunY","Yes","Yes","Yes",NA,NA,NA,67,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Low importance","Neutral","Not at all important","Slightly important","Moderately Important","Not at all important","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",33,"Latino or Hispanic","","High school graduate","I work part time","","Independent","","","Closer to the Republican Party","Moderate","","","Closer to liberals","",40.9985035497226
286,"2020-10-30 17:40:30","R_2R95yVol9LIBks2","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Low importance","Not at all important","Neutral","Low importance","Extremely Important","Extremely Important","Low importance","Low importance","I compared the two persons attribute by attribute","",29,"Caucasian/White (non-Hispanic)","","High school graduate","Prefer not to say","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",25.108847969237
661,"2020-10-30 17:51:29","R_2dum98OYmQFcl5G","Yes","Yes","Yes",NA,NA,NA,27,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Low importance","Moderately Important","Moderately Important","Extremely Important","Slightly important","Slightly important","Slightly important","I compared the two persons attribute by attribute","",54,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","It was interesting, thank you",10.3266850647812
1168,"2020-10-30 18:17:37","R_1FrHeysKcQoQFFZ","Yes","Yes","Yes",NA,NA,NA,51,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin,Location","Extremely Important","Not at all important","Not at all important","Not at all important","Neutral","Not at all important","Not at all important","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",34,"Black or African American (non-Hispanic)","","4-year college degree","I work full time","","Independent","","","Closer to the Democratic Party","None of the above","","","Neither","",10.7944259840982
246,"2020-10-30 18:19:04","R_3Di6daTndyxfLQC","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Neutral","Not at all important","Moderately Important","Very Important","Moderately Important","Neutral","I compared the two persons attribute by attribute","",33,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Independent","","","Closer to the Democratic Party","Liberal","Strong liberal","","","",13.3311984493237
156,"2020-10-30 18:25:09","R_zVxnOvzZkjeuzAt","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues","Neutral","Moderately Important","Slightly important","Very Important","Moderately Important","Moderately Important","Neutral","Neutral","I compared the two persons attribute by attribute","",27,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Republican","","Not strong","","Conservative","","Not very strong conservative","","",56.3195964683126
392,"2020-10-30 19:17:34","R_3qJ9RaW4P6Mj3Uy","Yes","Yes","Yes",NA,NA,NA,91,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Moderately Important","Slightly important","Not at all important","Not at all important","Extremely Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",54,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","",51.0516625880384
381,"2020-10-30 19:21:31","R_3gSdRGXFMegU2np","Yes","Yes","Yes",NA,NA,NA,52,70,"Person B","a job","National Origin,Style of Dress,Location","Neutral","Not at all important","Neutral","Neutral","Very Important","Neutral","Moderately Important","Not at all important","I compared the two persons attribute by attribute","",25,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",48.5950339840713
1326,"2020-10-30 19:25:44","R_VWFTGdYk8WPmNXz","Yes","Yes","Yes",NA,NA,NA,51,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Slightly important","Low importance","Slightly important","Very Important","Moderately Important","Moderately Important","Moderately Important","Slightly important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",29,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",52.3637284199623
1125,"2020-10-30 20:08:34","R_9tMuwnbpEW8ezaF","Yes","Yes","Yes",NA,NA,NA,90,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Not at all important","Low importance","Slightly important","Slightly important","Low importance","Low importance","I compared the two persons attribute by attribute","",36,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",47.5000241982052
443,"2020-10-30 20:35:20","R_2zUtOBPwyZc8QSk","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Not at all important","Moderately Important","Not at all important","Moderately Important","Very Important","Slightly important","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",33,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work part time","","Independent","","","Closer to the Democratic Party","Moderate","","","Neither","",43.7357262053377
172,"2020-10-30 20:35:41","R_emp6VF7kmHu4wNP","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin,Location","Extremely Important","Very Important","Very Important","Neutral","Moderately Important","Slightly important","Neutral","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",26,"Black or African American (non-Hispanic)","","4-year college degree","I work part time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",45.3610786186441
1212,"2020-10-30 20:38:39","R_2VKk1moH3NiS0Y6","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Very Important","Slightly important","Extremely Important","Low importance","Moderately Important","Very Important","Moderately Important","I started with (1) and switched to (2)","",24,"Caucasian/White (non-Hispanic)","","4-year college degree","I am unemployed","","Other Party","","","Closer to the Democratic Party","Liberal","Strong liberal","","","",56.8622033877443
242,"2020-10-30 21:24:45","R_3foZG8k9TiiZTQE","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Moderately Important","Neutral","Very Important","Extremely Important","Very Important","Moderately Important","Moderately Important","I compared the two persons attribute by attribute","",30,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","A3EG4C9T4F5DUR",17.55109168113
1167,"2020-10-30 21:46:40","R_3NF1xgPs86yK0pN","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Not at all important","Not at all important","Not at all important","Very Important","Low importance","Not at all important","I compared the two persons attribute by attribute","",51,"Latino or Hispanic","","Some college, but no degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",26.2674498959136
50162,"2020-10-31 08:28:57","R_1DpBh1TP8Zzvyyh","Yes","Yes","Yes",NA,NA,NA,80,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Moderately Important","Not at all important","Moderately Important","Moderately Important","Very Important","Not at all important","I compared the two persons attribute by attribute","",36,"Black or African American (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Independent","","","Neither","Moderate","","","Neither","please note that occupation was only important because it helped determine how useful this person is or their knowledge is to saving other peoples lives down the line",46.2380347033586
273,"2020-10-31 08:58:49","R_3Jh1LPQMRf0QRlh","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin,Style of Dress,Location","Moderately Important","Slightly important","Very Important","Moderately Important","Extremely Important","Very Important","Neutral","Moderately Important","I started with (1) and switched to (2)","",28,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Conservative","","Strong conservative","","nothing",54.6298964723549
718,"2020-10-31 15:55:06","R_VIl4Ku1Alxy6pFf","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Low importance","Not at all important","Low importance","Very Important","Extremely Important","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",32,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I am a full time student,I work part time","","Other Party","","","Closer to the Democratic Party","None of the above","","","Closer to liberals","",24.5055043093174
233,"2020-11-01 13:09:14","R_UFmCFPIXwCNXQrv","Yes","Yes","Yes",NA,NA,NA,90,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Not at all important","Not at all important","Not at all important","Extremely Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",38,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I am a full time student","","Democrat","Strong","","","Liberal","Strong liberal","","","",36.7279911732133
110,"2020-11-01 13:10:44","R_1Km3y1sovqK5fAs","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Criminal History","Extremely Important","Slightly important","Slightly important","Slightly important","Slightly important","Slightly important","Low importance","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",29,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",51.8158387369047
292,"2020-11-01 13:11:19","R_2CTHWoMJsB8Knte","Yes","Yes","Yes",NA,NA,NA,80,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Extremely Important","Low importance","Not at all important","Not at all important","Not at all important","Extremely Important","Moderately Important","Neutral","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",30,"Latino or Hispanic","","Some college, but no degree","I work full time","","Independent","","","Closer to the Democratic Party","Moderate","","","Neither","",51.3612225608344
408,"2020-11-01 13:12:09","R_VKcLtmv1Eg7CABH","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Low importance","Not at all important","Slightly important","Not at all important","Very Important","Moderately Important","Extremely Important","Not at all important","I compared the two persons attribute by attribute","",35,"Asian/Pacific Islanders","","4-year college degree","I am unemployed","","Democrat","Not strong","","","Moderate","","","Closer to liberals","",37.1443939025384
334,"2020-11-01 13:12:19","R_0GQXtqTzEbzJK3n","Yes","Yes","Yes",NA,NA,NA,74,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Very Important","Not at all important","Moderately Important","Moderately Important","Not at all important","Not at all important","I started with (2) and switched to (1)","",52,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","",35.1669187692848
234,"2020-11-01 13:12:31","R_12DyQUtXSoprf9K","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Mental or Physical Health Issues","Moderately Important","Very Important","Extremely Important","Very Important","Moderately Important","Very Important","Extremely Important","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",30,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Republican","","Strong","","Liberal","Not very strong liberal","","","great analysis",20.5211971706062
365,"2020-11-01 13:12:33","R_21BdpWCByulRhiz","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Moderately Important","Not at all important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","I compared the two persons attribute by attribute","",40,"Caucasian/White (non-Hispanic)","","High school graduate","Other","self employed","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",47.195459099532
442,"2020-11-01 13:12:56","R_2zkkFhCJgAikbaD","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Moderately Important","Not at all important","Not at all important","Very Important","Not at all important","Not at all important","I started with (1) and switched to (2)","",36,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Independent","","","Neither","Moderate","","","Closer to liberals","Thanks",26.5261739095501
307,"2020-11-01 13:14:03","R_ypUnIz5DO22ShVL","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Not at all important","Not at all important","Moderately Important","Not at all important","Moderately Important","Moderately Important","Moderately Important","Very Important","I used both (1) and (2)","",49,"Asian/Pacific Islanders","","2-year college degree","I am a full time student,I work full time","","Republican","","Not strong","","Conservative","","Not very strong conservative","","",51.3591532428654
300,"2020-11-01 13:15:09","R_2WBGCjcwVPe7R7N","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Slightly important","Neutral","Moderately Important","Not at all important","Very Important","Moderately Important","Moderately Important","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",29,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Democrat","Not strong","","","Liberal","Strong liberal","","","",42.4881800463163
597,"2020-11-01 13:15:27","R_z7IviBUaIwMWmNb","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Very Important","Slightly important","Slightly important","Low importance","Very Important","Moderately Important","Not at all important","I used both (1) and (2)","",41,"Black or African American (non-Hispanic)","","High school graduate","I am unemployed","","Independent","","","Neither","None of the above","","","Neither","",35.1588942159803
539,"2020-11-01 13:16:05","R_3kodUdFMzsQ0PiY","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Low importance","Moderately Important","Very Important","Not at all important","Very Important","Extremely Important","Moderately Important","Low importance","I compared the two persons attribute by attribute","",61,"Black or African American (non-Hispanic)","","Some college, but no degree","Prefer not to say","","Democrat","Not strong","","","Moderate","","","Neither","",30.2636151647343
542,"2020-11-01 13:16:07","R_1OOgEAqjoWE7mi3","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Low importance","Slightly important","Low importance","Moderately Important","Very Important","Low importance","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",56,"Caucasian/White (non-Hispanic)","","High school graduate","I work part time","","Independent","","","Closer to the Democratic Party","None of the above","","","Neither","",39.708498503945
499,"2020-11-01 13:17:45","R_3pmZeOCS1mvnoRE","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Low importance","Not at all important","Moderately Important","Moderately Important","Moderately Important","Low importance","I compared the two persons attribute by attribute","",68,"Caucasian/White (non-Hispanic)","","High school graduate","I am retired","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",44.9724541732512
665,"2020-11-01 13:19:00","R_2vYRKbe1nqjOBSg","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Moderately Important","Not at all important","Moderately Important","Moderately Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",37,"Caucasian/White (non-Hispanic)","","High school graduate","I am unemployed","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",37.9137784242429
511,"2020-11-01 13:19:08","R_1KdsiDHvIg8hBpl","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Slightly important","Not at all important","Not at all important","Very Important","Low importance","Not at all important","I used both (1) and (2)","",40,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Independent","","","Closer to the Republican Party","Moderate","","","Closer to conservatives","",52.7682871138137
543,"2020-11-01 13:19:17","R_5ANjlBMxjxlByDL","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Moderately Important","Slightly important","Extremely Important","Moderately Important","Very Important","Slightly important","I compared the two persons attribute by attribute","",44,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","I would stay away from people who have a history of violent crime.",19.2840906829303
231,"2020-11-01 13:20:18","R_1rrnFFxo2VsWzvQ","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Slightly important","Low importance","Slightly important","Not at all important","Neutral","Extremely Important","Slightly important","Neutral","I compared the two persons attribute by attribute","",27,"Caucasian/White (non-Hispanic)","","4-year college degree","I am a part time student,I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",14.5469875334639
644,"2020-11-01 13:20:26","R_3fDEtQm0agxXLf8","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Low importance","Low importance","Moderately Important","Moderately Important","Low importance","Slightly important","I used both (1) and (2)","",49,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Democrat","Not strong","","","Liberal","Strong liberal","","","Knowing that absence of the device would cause only minor discomfort might have made decision making easier than it otherwise would have been. Thanks.",22.6225120093726
395,"2020-11-01 13:20:41","R_svsqVM8yRY4aiyZ","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Low importance","Not at all important","Low importance","Low importance","Moderately Important","Not at all important","I compared the two persons attribute by attribute","",31,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","No feedback.",43.115942487753
865,"2020-11-01 13:21:46","R_11i1oBYNIWl3I0f","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Slightly important","Not at all important","Not at all important","Not at all important","Very Important","Slightly important","Low importance","Not at all important","I compared the two persons attribute by attribute","",69,"Caucasian/White (non-Hispanic)","","2-year college degree","I am retired","","Republican","","Strong","","Conservative","","Strong conservative","","None",37.2060121596339
352,"2020-11-01 13:22:39","R_211vxNmtOOVIhxd","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Low importance","Moderately Important","Very Important","Not at all important","Low importance","Neutral","Extremely Important","Moderately Important","I compared the two persons attribute by attribute","",32,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",38.3095261760311
983,"2020-11-01 13:23:41","R_24q5a4QFXJlNPHS","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Low importance","Not at all important","Neutral","Not at all important","Moderately Important","Neutral","Slightly important","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",34,"Black or African American (non-Hispanic)","","High school graduate","I work part time","","Democrat","Strong","","","Moderate","","","Closer to liberals","",45.6612621130564
455,"2020-11-01 13:24:04","R_3n2FVasm8tI9qFO","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Slightly important","Not at all important","Not at all important","Not at all important","Very Important","Low importance","Not at all important","Not at all important","I compared the two persons attribute by attribute","",48,"Caucasian/White (non-Hispanic)","","High school graduate","I am unemployed","","Independent","","","Closer to the Republican Party","Moderate","","","Closer to conservatives","",43.4446667114842
634,"2020-11-01 13:24:16","R_BLBUxXMVZD4XJHb","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Low importance","Not at all important","Moderately Important","Not at all important","Extremely Important","Low importance","Very Important","Not at all important","I compared the two persons attribute by attribute","",30,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work part time","","Independent","","","Closer to the Republican Party","Moderate","","","Closer to liberals","",49.311345964277
299,"2020-11-01 13:24:30","R_2Vg9u48dBsaykli","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Slightly important","Not at all important","Slightly important","Low importance","Moderately Important","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",31,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Republican","","Not strong","","Moderate","","","Closer to conservatives","",22.0644223950953
402,"2020-11-01 13:25:16","R_2TSDM5hT6fUDQav","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Not at all important","Moderately Important","Not at all important","Moderately Important","Low importance","Not at all important","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",56,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","none",41.3488716188234
665,"2020-11-01 13:27:40","R_2wzeSBKb7tOofZJ","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Low importance","Moderately Important","Slightly important","Not at all important","Very Important","Neutral","Not at all important","I compared the two persons attribute by attribute","",36,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",15.376804294618
