Upbringing,Age,Criminal History,Occupation,Children,Health Issues,Race,Political Affiliation,answer,slider,responseid,question_index,condition_service_question,condition_slider
Grew up middle class,40,Prior history of non-violent crime,scientist,No kids,Mental health issues,White,None specified,1,5,R_1CezRSd1hz7aXpN,1,8,2
Grew up upper class,20,None,doctor,No kids,Physically disabled,Hispanic,Democrat,1,6,R_2dF3yGqHluMAgTf,1,6,2
Grew up middle class,20,None,Instacart shopper,No kids,Mental health issues,Hispanic,Republican,0,6,R_2dF3yGqHluMAgTf,1,6,2
Grew up poor,70,None,unemployed,No kids,Mental health issues,White,None specified,0,7,R_1nZVMTg2vYSaeFk,1,11,2
Grew up upper class,40,Prior history of non-violent crime,doctor,No kids,Generally Healthy,Hispanic,Republican,1,7,R_1nZVMTg2vYSaeFk,1,11,2
Grew up poor,20,Prior history of violent crime,Instacart shopper,No kids,Diabetic,White,Democrat,0,5,R_1f7L1YD8dvLpv4G,1,15,2
Grew up poor,20,Prior history of violent crime,artist,No kids,Mental health issues,Asian,None specified,1,5,R_1f7L1YD8dvLpv4G,1,15,2
Grew up middle class,40,Prior history of violent crime,doctor,Two kids,Physically disabled,Hispanic,Democrat,0,7,R_Qd1YEd2PH26Aqbv,1,13,2
Grew up upper class,20,Prior history of non-violent crime,banker,Two kids,Physically disabled,White,Democrat,1,7,R_Qd1YEd2PH26Aqbv,1,13,2
Grew up poor,20,Prior history of violent crime,unemployed,No kids,Mental health issues,Black,Democrat,0,7,R_2qxAd3zIgnoxeR5,1,13,2
Grew up upper class,40,None,doctor,No kids,Generally Healthy,Asian,Republican,1,7,R_2qxAd3zIgnoxeR5,1,13,2
Grew up poor,70,None,banker,Two kids,Diabetic,White,None specified,0,5,R_vBlBfWNKJXIOGUF,1,13,2
Grew up upper class,40,None,scientist,No kids,Diabetic,Hispanic,Republican,1,5,R_vBlBfWNKJXIOGUF,1,13,2
Grew up poor,70,None,artist,Two kids,Mental health issues,Asian,Republican,1,5,R_3efYRKwFzlRMgOF,1,2,2
Grew up upper class,20,Prior history of non-violent crime,janitor,No kids,Diabetic,White,Republican,0,5,R_3efYRKwFzlRMgOF,1,2,2
Grew up poor,70,Prior history of violent crime,firefighter,No kids,Mental health issues,Hispanic,None specified,1,6,R_2D6NReqySIgj3Y9,1,3,2
Grew up upper class,70,Prior history of non-violent crime,banker,Two kids,Mental health issues,Black,Republican,0,6,R_2D6NReqySIgj3Y9,1,3,2
Grew up upper class,70,None,unemployed,Two kids,Mental health issues,Asian,Republican,0,6,R_3spHqBH7lNHmCMl,1,10,2
Grew up poor,40,Prior history of non-violent crime,scientist,Two kids,Generally Healthy,Asian,None specified,1,6,R_3spHqBH7lNHmCMl,1,10,2
Grew up poor,20,Prior history of violent crime,firefighter,No kids,Physically disabled,Black,Republican,0,6,R_307hDmD2SNVxs9Z,1,3,2
Grew up upper class,70,Prior history of non-violent crime,doctor,No kids,Diabetic,Hispanic,Republican,1,6,R_307hDmD2SNVxs9Z,1,3,2
Grew up upper class,70,None,unemployed,No kids,Physically disabled,Asian,None specified,1,6,R_aWaePvIhgfdkaLn,1,7,2
Grew up upper class,40,Prior history of non-violent crime,Instacart shopper,Two kids,Physically disabled,White,Democrat,0,6,R_aWaePvIhgfdkaLn,1,7,2
Grew up upper class,70,Prior history of non-violent crime,scientist,No kids,Physically disabled,Asian,Republican,0,6,R_3npdkYvXUZ485Ke,1,6,2
Grew up middle class,20,Prior history of non-violent crime,banker,Two kids,Generally Healthy,Black,None specified,1,6,R_3npdkYvXUZ485Ke,1,6,2
Grew up poor,40,None,janitor,Two kids,Diabetic,Hispanic,Republican,1,6,R_RQ50KAVMPLLD5w5,1,10,2
Grew up upper class,40,Prior history of non-violent crime,janitor,Two kids,Diabetic,Asian,None specified,0,6,R_RQ50KAVMPLLD5w5,1,10,2
Grew up poor,70,Prior history of violent crime,scientist,Two kids,Diabetic,White,None specified,0,4,R_2ZCWRwPVaVizBUH,1,11,2
Grew up middle class,20,Prior history of non-violent crime,nurse,No kids,Diabetic,Black,Democrat,1,4,R_2ZCWRwPVaVizBUH,1,11,2
Grew up poor,70,None,unemployed,Two kids,Mental health issues,Black,Democrat,0,4,R_3kz7R4vgnma9nvP,1,2,2
Grew up poor,20,Prior history of violent crime,firefighter,Two kids,Mental health issues,White,None specified,1,4,R_3kz7R4vgnma9nvP,1,2,2
Grew up middle class,70,Prior history of violent crime,banker,Two kids,Diabetic,Black,Republican,1,4,R_3rUJ1vrQOAp83hE,1,16,2
Grew up poor,20,Prior history of non-violent crime,Instacart shopper,Two kids,Mental health issues,Hispanic,Republican,0,4,R_3rUJ1vrQOAp83hE,1,16,2
Grew up middle class,40,Prior history of violent crime,banker,No kids,Diabetic,Hispanic,None specified,0,7,R_2SiXqH1qqgmYFYb,1,3,2
Grew up upper class,20,Prior history of non-violent crime,artist,Two kids,Generally Healthy,White,Republican,1,7,R_2SiXqH1qqgmYFYb,1,3,2
Grew up upper class,40,Prior history of violent crime,janitor,No kids,Mental health issues,Hispanic,None specified,0,6,R_1gNs5L9V0H5Xz96,1,16,2
Grew up poor,40,None,janitor,Two kids,Generally Healthy,Hispanic,Democrat,1,6,R_1gNs5L9V0H5Xz96,1,16,2
Grew up middle class,20,Prior history of non-violent crime,unemployed,No kids,Mental health issues,White,Republican,0,6,R_erZY5ocK7c7y6jv,1,6,2
Grew up poor,40,None,scientist,No kids,Generally Healthy,Hispanic,Republican,1,6,R_erZY5ocK7c7y6jv,1,6,2
Grew up poor,40,None,firefighter,No kids,Mental health issues,White,Republican,1,6,R_1KYFsab9ae8bkjv,1,15,2
Grew up upper class,20,None,unemployed,No kids,Mental health issues,Black,Democrat,0,6,R_1KYFsab9ae8bkjv,1,15,2
Grew up poor,70,None,banker,Two kids,Mental health issues,Black,None specified,1,5,R_1Qyn4rKKtpyFLfj,1,15,2
Grew up middle class,70,None,unemployed,No kids,Physically disabled,Asian,Republican,0,5,R_1Qyn4rKKtpyFLfj,1,15,2
Grew up middle class,20,Prior history of non-violent crime,banker,Two kids,Physically disabled,Black,None specified,0,5,R_1pDyVZJzeI4S9pu,1,5,2
Grew up poor,40,None,scientist,No kids,Mental health issues,White,Republican,1,5,R_1pDyVZJzeI4S9pu,1,5,2
Grew up poor,70,Prior history of non-violent crime,artist,No kids,Generally Healthy,Hispanic,Democrat,0,6,R_1FG7hwgAPCg9pq9,1,8,2
Grew up upper class,20,None,unemployed,No kids,Mental health issues,Hispanic,Republican,1,6,R_1FG7hwgAPCg9pq9,1,8,2
Grew up upper class,20,Prior history of violent crime,banker,No kids,Mental health issues,Black,Republican,0,5,R_1kMP0KVuI6MB9df,1,10,2
Grew up middle class,20,Prior history of non-violent crime,doctor,No kids,Generally Healthy,Black,Democrat,1,5,R_1kMP0KVuI6MB9df,1,10,2
Grew up middle class,70,None,firefighter,Two kids,Generally Healthy,Asian,Republican,0,6,R_2EBrGeO5wjBTZxy,1,2,2
Grew up middle class,20,None,Instacart shopper,Two kids,Generally Healthy,Asian,Democrat,1,6,R_2EBrGeO5wjBTZxy,1,2,2
Grew up middle class,40,None,janitor,No kids,Mental health issues,Asian,None specified,0,7,R_YPUqZPvuKtu1uhz,1,10,2
Grew up middle class,40,Prior history of violent crime,banker,Two kids,Physically disabled,Hispanic,Democrat,1,7,R_YPUqZPvuKtu1uhz,1,10,2
Grew up middle class,20,Prior history of non-violent crime,scientist,Two kids,Generally Healthy,Black,Democrat,0,5,R_2vhTLIvC2rGnTAf,1,5,2
Grew up middle class,40,None,scientist,Two kids,Generally Healthy,Asian,Democrat,1,5,R_2vhTLIvC2rGnTAf,1,5,2
Grew up middle class,20,Prior history of violent crime,nurse,Two kids,Diabetic,Black,None specified,1,5,R_1fdNzUIOleK8LeF,1,12,2
Grew up upper class,20,Prior history of violent crime,banker,Two kids,Mental health issues,Black,None specified,0,5,R_1fdNzUIOleK8LeF,1,12,2
Grew up middle class,40,None,firefighter,No kids,Mental health issues,Asian,None specified,0,5,R_2BrOeLvMTZnkjAh,1,1,2
Grew up upper class,20,None,scientist,No kids,Generally Healthy,Hispanic,Republican,1,5,R_2BrOeLvMTZnkjAh,1,1,2
Grew up upper class,70,None,scientist,No kids,Mental health issues,Hispanic,Democrat,0,5,R_z2v9FhJ0P8Ri7At,1,7,2
Grew up middle class,70,Prior history of non-violent crime,firefighter,Two kids,Diabetic,White,Democrat,1,5,R_z2v9FhJ0P8Ri7At,1,7,2
Grew up middle class,70,Prior history of non-violent crime,scientist,No kids,Diabetic,Hispanic,Democrat,0,2,R_1EQRmi3RXtXEwZr,1,3,2
Grew up poor,70,Prior history of violent crime,scientist,No kids,Physically disabled,Hispanic,Republican,1,2,R_1EQRmi3RXtXEwZr,1,3,2
Grew up poor,70,Prior history of violent crime,doctor,Two kids,Physically disabled,Hispanic,Democrat,0,6,R_27d5qWNjEDt61IW,1,3,2
Grew up upper class,20,Prior history of violent crime,unemployed,No kids,Mental health issues,Black,Democrat,1,6,R_27d5qWNjEDt61IW,1,3,2
Grew up middle class,20,None,artist,Two kids,Mental health issues,Asian,None specified,0,7,R_zY9vHsKTaDQL0Y1,1,7,2
Grew up poor,20,None,Instacart shopper,No kids,Generally Healthy,White,None specified,1,7,R_zY9vHsKTaDQL0Y1,1,7,2
Grew up poor,70,Prior history of non-violent crime,Instacart shopper,No kids,Physically disabled,Black,None specified,0,6,R_3Gxm0fzkp3oh7Db,1,7,2
Grew up poor,70,Prior history of violent crime,banker,Two kids,Generally Healthy,White,None specified,1,6,R_3Gxm0fzkp3oh7Db,1,7,2
Grew up upper class,40,None,scientist,No kids,Diabetic,Black,Democrat,1,7,R_3stB93wCP2ZjGw6,1,9,2
Grew up poor,20,Prior history of non-violent crime,janitor,No kids,Physically disabled,Black,None specified,0,7,R_3stB93wCP2ZjGw6,1,9,2
Grew up middle class,70,None,banker,Two kids,Physically disabled,Asian,Democrat,1,6,R_3e8gw6CJVbsTzFY,1,4,2
Grew up middle class,20,None,scientist,Two kids,Physically disabled,White,Democrat,0,6,R_3e8gw6CJVbsTzFY,1,4,2
Grew up poor,70,None,unemployed,Two kids,Generally Healthy,Hispanic,Democrat,1,5,R_25Gy6x2fAPuE3dA,1,2,2
Grew up upper class,70,Prior history of violent crime,nurse,No kids,Generally Healthy,Asian,None specified,0,5,R_25Gy6x2fAPuE3dA,1,2,2
Grew up middle class,20,None,artist,No kids,Physically disabled,Hispanic,Republican,0,6,R_2wvtRzNBu6LUT4c,1,6,2
Grew up middle class,40,Prior history of violent crime,unemployed,No kids,Physically disabled,Black,Democrat,1,6,R_2wvtRzNBu6LUT4c,1,6,2
Grew up middle class,70,Prior history of non-violent crime,scientist,No kids,Physically disabled,Black,Republican,1,7,R_3e4YxPziZhgvF20,1,16,2
Grew up poor,20,None,banker,Two kids,Mental health issues,Hispanic,None specified,0,7,R_3e4YxPziZhgvF20,1,16,2
Grew up upper class,40,None,scientist,Two kids,Physically disabled,White,None specified,0,6,R_3kGnoWPpLlHpm0K,1,5,2
Grew up poor,70,Prior history of violent crime,Instacart shopper,No kids,Physically disabled,Asian,None specified,1,6,R_3kGnoWPpLlHpm0K,1,5,2
Grew up middle class,40,Prior history of violent crime,unemployed,No kids,Mental health issues,White,None specified,0,6,R_QmRqqDeddGfaW1H,1,5,2
Grew up upper class,20,None,banker,No kids,Diabetic,Asian,None specified,1,6,R_QmRqqDeddGfaW1H,1,5,2
Grew up middle class,40,Prior history of violent crime,firefighter,No kids,Diabetic,Black,None specified,0,5,R_ykm8dmUr8m3MRBT,1,15,2
Grew up upper class,70,Prior history of violent crime,scientist,Two kids,Mental health issues,Black,Republican,1,5,R_ykm8dmUr8m3MRBT,1,15,2
Grew up upper class,20,None,janitor,Two kids,Diabetic,Hispanic,Democrat,1,6,R_2P1Y9YXEJ3mSQ5c,1,7,2
Grew up poor,70,Prior history of non-violent crime,doctor,Two kids,Diabetic,White,Republican,0,6,R_2P1Y9YXEJ3mSQ5c,1,7,2
Grew up middle class,40,None,nurse,No kids,Physically disabled,Asian,Republican,1,6,R_Caj9lBcggCKuvIt,1,6,2
Grew up poor,40,None,firefighter,No kids,Physically disabled,Hispanic,Republican,0,6,R_Caj9lBcggCKuvIt,1,6,2
Grew up upper class,40,None,firefighter,Two kids,Generally Healthy,Asian,None specified,0,5,R_2PuS0qaUdFckVfL,1,3,2
Grew up upper class,20,Prior history of non-violent crime,banker,Two kids,Physically disabled,Black,Republican,1,5,R_2PuS0qaUdFckVfL,1,3,2
Grew up middle class,40,None,unemployed,No kids,Diabetic,Hispanic,None specified,1,7,R_2ON4bLAAk9AY18b,1,6,2
Grew up middle class,40,None,Instacart shopper,No kids,Mental health issues,Hispanic,None specified,0,7,R_2ON4bLAAk9AY18b,1,6,2
Grew up upper class,70,Prior history of violent crime,Instacart shopper,Two kids,Generally Healthy,Black,Republican,1,6,R_2flCGNYg4xTeaZL,1,15,2
Grew up upper class,20,None,artist,No kids,Physically disabled,Hispanic,None specified,0,6,R_2flCGNYg4xTeaZL,1,15,2
Grew up middle class,70,None,artist,Two kids,Mental health issues,White,Democrat,0,7,R_1CBdHyIdQILyc3q,1,16,2
Grew up upper class,20,Prior history of violent crime,scientist,No kids,Generally Healthy,Hispanic,Democrat,1,7,R_1CBdHyIdQILyc3q,1,16,2
Grew up upper class,20,None,janitor,Two kids,Physically disabled,White,Republican,0,5,R_3EWr8XOVypLPbmb,1,9,2
Grew up upper class,40,None,unemployed,Two kids,Generally Healthy,Asian,Democrat,1,5,R_3EWr8XOVypLPbmb,1,9,2
Grew up poor,20,None,janitor,Two kids,Generally Healthy,Asian,Republican,0,5,R_1eqREcVdL0ZeUJI,1,5,2
Grew up middle class,40,None,nurse,Two kids,Physically disabled,Asian,Republican,1,5,R_1eqREcVdL0ZeUJI,1,5,2
Grew up middle class,40,Prior history of non-violent crime,doctor,Two kids,Mental health issues,White,Republican,1,6,R_1d6nkIi64JWXmHr,1,8,2
Grew up middle class,70,None,banker,Two kids,Generally Healthy,Asian,Democrat,0,6,R_1d6nkIi64JWXmHr,1,8,2
Grew up poor,20,Prior history of violent crime,scientist,No kids,Mental health issues,Hispanic,None specified,0,7,R_TdViNtzKj82Z0qJ,1,1,2
Grew up upper class,40,Prior history of violent crime,doctor,No kids,Diabetic,White,None specified,1,7,R_TdViNtzKj82Z0qJ,1,1,2
Grew up upper class,40,None,banker,No kids,Generally Healthy,Hispanic,Republican,1,5,R_zbSLbI6JOkPf94t,1,7,2
Grew up upper class,20,Prior history of non-violent crime,banker,Two kids,Mental health issues,Hispanic,None specified,0,5,R_zbSLbI6JOkPf94t,1,7,2
Grew up upper class,20,None,Instacart shopper,No kids,Physically disabled,Black,Democrat,0,2,R_3rMwOHQI0p9cnH6,1,11,2
Grew up poor,20,Prior history of non-violent crime,artist,No kids,Mental health issues,Black,None specified,1,2,R_3rMwOHQI0p9cnH6,1,11,2
Grew up upper class,40,Prior history of violent crime,janitor,No kids,Mental health issues,White,Democrat,0,5,R_1InmhH14bRvEJel,1,1,2
Grew up middle class,20,Prior history of violent crime,Instacart shopper,Two kids,Generally Healthy,White,Republican,1,5,R_1InmhH14bRvEJel,1,1,2
Grew up middle class,70,Prior history of non-violent crime,Instacart shopper,Two kids,Mental health issues,Asian,None specified,0,5,R_1LGV3XsWx0If2X2,1,3,2
Grew up poor,20,None,janitor,Two kids,Diabetic,Black,Democrat,1,5,R_1LGV3XsWx0If2X2,1,3,2
Grew up middle class,70,Prior history of non-violent crime,nurse,Two kids,Generally Healthy,Asian,Democrat,1,5,R_2BgiTa8UnIHfxdC,1,12,2
Grew up poor,70,None,doctor,No kids,Generally Healthy,White,Republican,0,5,R_2BgiTa8UnIHfxdC,1,12,2
Grew up middle class,40,Prior history of violent crime,unemployed,No kids,Physically disabled,Hispanic,None specified,0,5,R_sL0mH1LSLEZmxgJ,1,7,2
Grew up poor,70,None,janitor,No kids,Generally Healthy,Hispanic,None specified,1,5,R_sL0mH1LSLEZmxgJ,1,7,2
Grew up middle class,70,None,janitor,No kids,Generally Healthy,White,None specified,1,6,R_DMoVRWjqrYoj49b,1,10,2
Grew up poor,70,Prior history of violent crime,Instacart shopper,No kids,Diabetic,White,Democrat,0,6,R_DMoVRWjqrYoj49b,1,10,2
Grew up poor,20,None,unemployed,Two kids,Mental health issues,White,Republican,1,7,R_3enlL79KrwSjdn2,1,10,2
Grew up poor,20,Prior history of non-violent crime,scientist,No kids,Mental health issues,Hispanic,Republican,0,7,R_3enlL79KrwSjdn2,1,10,2
Grew up poor,70,Prior history of violent crime,banker,Two kids,Diabetic,Hispanic,None specified,1,7,R_2sbUgHDJ0P0Eqlb,1,2,2
Grew up middle class,70,None,nurse,No kids,Physically disabled,Hispanic,Democrat,0,7,R_2sbUgHDJ0P0Eqlb,1,2,2
Grew up poor,70,None,doctor,No kids,Physically disabled,Hispanic,Republican,1,7,R_2BkAmsPYNDiDvRp,1,6,2
Grew up upper class,20,None,artist,No kids,Generally Healthy,Asian,None specified,0,7,R_2BkAmsPYNDiDvRp,1,6,2
Grew up upper class,70,Prior history of violent crime,Instacart shopper,Two kids,Physically disabled,White,Republican,1,5,R_3Lb4K6l1a91QGBE,1,16,2
Grew up poor,40,Prior history of violent crime,firefighter,No kids,Diabetic,Hispanic,Democrat,0,5,R_3Lb4K6l1a91QGBE,1,16,2
Grew up poor,40,None,banker,No kids,Generally Healthy,White,None specified,1,7,R_SVsc9t4BABPyBod,1,6,2
Grew up middle class,40,Prior history of non-violent crime,unemployed,Two kids,Generally Healthy,Hispanic,None specified,0,7,R_SVsc9t4BABPyBod,1,6,2
Grew up upper class,20,Prior history of non-violent crime,firefighter,Two kids,Diabetic,Black,Democrat,0,5,R_3h4lujO5QjgjZuZ,1,4,2
Grew up upper class,20,Prior history of violent crime,banker,No kids,Mental health issues,Asian,Democrat,1,5,R_3h4lujO5QjgjZuZ,1,4,2
Grew up upper class,40,Prior history of non-violent crime,doctor,No kids,Diabetic,White,None specified,1,6,R_2pRzhKeEN46TEiC,1,13,2
Grew up middle class,70,None,banker,No kids,Generally Healthy,Asian,Democrat,0,6,R_2pRzhKeEN46TEiC,1,13,2
Grew up upper class,40,Prior history of non-violent crime,janitor,Two kids,Generally Healthy,Asian,Democrat,1,7,R_3EQlkCU0SPUG1Fm,1,10,2
Grew up upper class,20,Prior history of violent crime,nurse,No kids,Mental health issues,White,Democrat,0,7,R_3EQlkCU0SPUG1Fm,1,10,2
Grew up upper class,40,Prior history of non-violent crime,scientist,No kids,Diabetic,Hispanic,None specified,1,5,R_aaZ0nPM8q2aSRyN,1,1,2
Grew up upper class,20,Prior history of non-violent crime,banker,No kids,Generally Healthy,Black,Republican,0,5,R_aaZ0nPM8q2aSRyN,1,1,2
Grew up upper class,70,Prior history of violent crime,firefighter,No kids,Physically disabled,Asian,Democrat,0,1,R_2f7gDRP8XJElOPc,1,1,2
Grew up poor,70,None,firefighter,Two kids,Physically disabled,Hispanic,Republican,1,1,R_2f7gDRP8XJElOPc,1,1,2
Grew up poor,20,Prior history of violent crime,janitor,No kids,Mental health issues,Black,Democrat,0,7,R_3PtniJBb9HqqSCA,1,10,2
Grew up middle class,40,Prior history of violent crime,banker,Two kids,Diabetic,Hispanic,Democrat,1,7,R_3PtniJBb9HqqSCA,1,10,2
Grew up upper class,20,Prior history of non-violent crime,artist,Two kids,Generally Healthy,Asian,Republican,1,3,R_3fiYAZjt7r0weKA,1,2,2
Grew up middle class,40,Prior history of violent crime,doctor,Two kids,Generally Healthy,Asian,None specified,0,3,R_3fiYAZjt7r0weKA,1,2,2
Grew up upper class,20,Prior history of violent crime,nurse,Two kids,Generally Healthy,Black,None specified,1,6,R_1f1MOZFBdtqxM15,1,15,2
Grew up upper class,70,Prior history of violent crime,unemployed,No kids,Mental health issues,Hispanic,Republican,0,6,R_1f1MOZFBdtqxM15,1,15,2
Grew up upper class,70,None,nurse,No kids,Mental health issues,Asian,Democrat,1,4,R_1GvKMq0IdHPXWbH,1,1,2
Grew up poor,70,Prior history of violent crime,banker,Two kids,Diabetic,White,Democrat,0,4,R_1GvKMq0IdHPXWbH,1,1,2
Grew up upper class,40,None,doctor,Two kids,Physically disabled,Hispanic,Republican,1,2,R_2dfOXJiBl3sUhCl,1,16,2
Grew up upper class,70,Prior history of non-violent crime,Instacart shopper,Two kids,Generally Healthy,White,None specified,0,2,R_2dfOXJiBl3sUhCl,1,16,2
Grew up middle class,70,None,artist,Two kids,Physically disabled,Black,Republican,1,4,R_U9qpaItHWvZUcBr,1,9,2
Grew up middle class,20,Prior history of non-violent crime,scientist,No kids,Physically disabled,Asian,None specified,0,4,R_U9qpaItHWvZUcBr,1,9,2
Grew up middle class,20,Prior history of violent crime,artist,Two kids,Mental health issues,White,Democrat,0,5,R_1pljR7lnAoOXUZA,1,11,2
Grew up middle class,40,None,unemployed,Two kids,Physically disabled,Black,Republican,1,5,R_1pljR7lnAoOXUZA,1,11,2
Grew up middle class,40,Prior history of non-violent crime,nurse,Two kids,Physically disabled,Asian,Republican,0,5,R_urEeZdmrC90QiVr,1,5,2
Grew up middle class,70,None,nurse,Two kids,Mental health issues,Black,Republican,1,5,R_urEeZdmrC90QiVr,1,5,2
Grew up poor,70,Prior history of non-violent crime,banker,Two kids,Mental health issues,White,None specified,0,2,R_cBJGqfJIkVAsUhP,1,4,2
Grew up upper class,70,None,firefighter,Two kids,Diabetic,Black,Republican,1,2,R_cBJGqfJIkVAsUhP,1,4,2
Grew up middle class,70,None,firefighter,No kids,Diabetic,Asian,None specified,0,6,R_2QxhZ2ipwqutjUH,1,4,2
Grew up poor,20,Prior history of violent crime,janitor,Two kids,Generally Healthy,Asian,None specified,1,6,R_2QxhZ2ipwqutjUH,1,4,2
Grew up poor,40,None,Instacart shopper,No kids,Diabetic,Asian,Democrat,1,6,R_2vj1oSvu44eCiFA,1,12,2
Grew up middle class,70,Prior history of non-violent crime,Instacart shopper,No kids,Physically disabled,Black,Republican,0,6,R_2vj1oSvu44eCiFA,1,12,2
Grew up middle class,20,None,doctor,No kids,Diabetic,White,Democrat,0,6,R_PMaNQHacafB5utH,1,2,2
Grew up middle class,20,Prior history of violent crime,janitor,No kids,Physically disabled,Black,Democrat,1,6,R_PMaNQHacafB5utH,1,2,2
Grew up upper class,20,None,unemployed,Two kids,Physically disabled,Hispanic,Democrat,0,5,R_2bQb9mKw76kFwrs,1,2,2
Grew up upper class,20,None,scientist,Two kids,Mental health issues,Hispanic,Republican,1,5,R_2bQb9mKw76kFwrs,1,2,2
Grew up middle class,20,Prior history of violent crime,scientist,Two kids,Mental health issues,White,None specified,1,5,R_2RRkpMyYj0uGmUV,1,11,2
Grew up upper class,20,Prior history of non-violent crime,doctor,No kids,Mental health issues,Black,Democrat,0,5,R_2RRkpMyYj0uGmUV,1,11,2
Grew up middle class,40,Prior history of violent crime,doctor,Two kids,Diabetic,Black,Democrat,1,6,R_1ONtl17kikYK7UX,1,10,2
Grew up upper class,40,None,scientist,No kids,Generally Healthy,Asian,None specified,0,6,R_1ONtl17kikYK7UX,1,10,2
Grew up upper class,20,None,firefighter,Two kids,Mental health issues,Black,None specified,1,5,R_3KOqHZx4oE4fHlo,1,4,2
Grew up middle class,40,None,janitor,Two kids,Generally Healthy,White,Republican,0,5,R_3KOqHZx4oE4fHlo,1,4,2
Grew up middle class,40,None,nurse,Two kids,Physically disabled,Black,None specified,1,7,R_2X04Cp7Z0OsKN3x,1,8,2
Grew up upper class,70,None,firefighter,No kids,Mental health issues,Black,None specified,0,7,R_2X04Cp7Z0OsKN3x,1,8,2
Grew up poor,20,Prior history of violent crime,banker,Two kids,Mental health issues,Hispanic,None specified,0,6,R_AhNwCKPS3EcF50B,1,1,2
Grew up middle class,40,Prior history of non-violent crime,doctor,Two kids,Diabetic,Black,Democrat,1,6,R_AhNwCKPS3EcF50B,1,1,2
Grew up middle class,70,Prior history of non-violent crime,unemployed,No kids,Diabetic,Asian,Democrat,0,7,R_1CxVRIrEmwp44uZ,1,8,2
Grew up poor,70,Prior history of violent crime,artist,Two kids,Physically disabled,Black,Democrat,1,7,R_1CxVRIrEmwp44uZ,1,8,2
Grew up upper class,20,Prior history of violent crime,janitor,No kids,Physically disabled,White,Republican,0,7,R_2QSVbRzKvHJN3Au,1,8,2
Grew up poor,70,Prior history of non-violent crime,janitor,No kids,Mental health issues,White,Democrat,1,7,R_2QSVbRzKvHJN3Au,1,8,2
Grew up middle class,70,None,artist,Two kids,Physically disabled,Black,Republican,1,3,R_UWlqqGF5oWVmPDj,1,13,2
Grew up upper class,70,None,scientist,Two kids,Physically disabled,Asian,Democrat,0,3,R_UWlqqGF5oWVmPDj,1,13,2
Grew up middle class,70,Prior history of violent crime,firefighter,Two kids,Physically disabled,Black,Republican,1,7,R_26m9JqtPryXQ3Rj,1,4,2
Grew up middle class,20,None,doctor,Two kids,Generally Healthy,White,Democrat,0,7,R_26m9JqtPryXQ3Rj,1,4,2
Grew up poor,40,Prior history of non-violent crime,Instacart shopper,Two kids,Generally Healthy,Black,Republican,1,5,R_2ZHMc8GH85Xbedt,1,10,2
Grew up middle class,70,None,doctor,No kids,Physically disabled,Asian,Democrat,0,5,R_2ZHMc8GH85Xbedt,1,10,2
Grew up poor,70,Prior history of violent crime,firefighter,No kids,Generally Healthy,Black,None specified,1,3,R_22nNuztNUM5XTx2,1,5,2
Grew up upper class,70,None,scientist,No kids,Diabetic,Black,Democrat,0,3,R_22nNuztNUM5XTx2,1,5,2
Grew up upper class,70,Prior history of non-violent crime,nurse,Two kids,Diabetic,White,None specified,1,5,R_1isNOAQH3hUCYAn,1,5,2
Grew up middle class,70,None,firefighter,No kids,Physically disabled,Hispanic,Democrat,0,5,R_1isNOAQH3hUCYAn,1,5,2
Grew up middle class,20,None,doctor,Two kids,Generally Healthy,Asian,None specified,0,5,R_so4s6mxufDl8dyh,1,1,2
Grew up upper class,70,None,unemployed,Two kids,Physically disabled,White,None specified,1,5,R_so4s6mxufDl8dyh,1,1,2
Grew up upper class,40,Prior history of violent crime,banker,No kids,Mental health issues,Asian,Republican,0,4,R_XsS05zlxdpRq6Ot,1,2,2
Grew up poor,20,Prior history of non-violent crime,unemployed,No kids,Mental health issues,Black,Democrat,1,4,R_XsS05zlxdpRq6Ot,1,2,2
Grew up upper class,20,None,doctor,Two kids,Physically disabled,Asian,Democrat,0,1,R_2SpOVEajy2fiHK5,1,4,2
Grew up poor,20,Prior history of non-violent crime,doctor,No kids,Generally Healthy,Asian,None specified,1,1,R_2SpOVEajy2fiHK5,1,4,2
Grew up poor,40,Prior history of non-violent crime,unemployed,No kids,Mental health issues,Asian,None specified,0,5,R_3DnbSl3c6FYUba5,1,15,2
Grew up middle class,40,None,unemployed,No kids,Diabetic,White,None specified,1,5,R_3DnbSl3c6FYUba5,1,15,2
Grew up upper class,40,Prior history of violent crime,artist,No kids,Mental health issues,Black,Democrat,1,6,R_1gzkf4s6BzNnkCN,1,16,2
Grew up middle class,70,Prior history of violent crime,artist,No kids,Diabetic,Black,Republican,0,6,R_1gzkf4s6BzNnkCN,1,16,2
Grew up middle class,70,Prior history of violent crime,artist,No kids,Physically disabled,Black,None specified,0,6,R_3RjVET7RH517MLF,1,12,2
Grew up middle class,40,Prior history of non-violent crime,unemployed,Two kids,Generally Healthy,White,Republican,1,6,R_3RjVET7RH517MLF,1,12,2
Grew up poor,40,None,nurse,No kids,Diabetic,White,Republican,0,4,R_2EsFl9ls4cPR2ZL,1,15,2
Grew up upper class,20,None,firefighter,No kids,Mental health issues,Hispanic,Democrat,1,4,R_2EsFl9ls4cPR2ZL,1,15,2
Grew up upper class,40,Prior history of violent crime,doctor,Two kids,Physically disabled,White,Democrat,1,7,R_32KiilgHwqNSdlQ,1,10,2
